#L	H	K	Y	I	error	LB	dL
1.279999888927541	1.0	1.0	0.0	0.0134485362805936	2.164019507314147e-05	1.0	2.0
1.325000075319244	1.0	1.0	0.0	0.009413159712428749	1.8417685475739274e-05	1.0	2.0
1.369999833614339	1.0	1.0	0.0	0.007233116769737645	1.6423503983496024e-05	1.0	2.0
1.415008475531702	1.0	1.0	0.0	0.005531699239147686	1.4585297229515345e-05	1.0	2.0
1.4599976504015	1.0	1.0	0.0	0.004345823313098147	1.3146974038654406e-05	1.0	2.0
1.504996628465557	1.0	1.0	0.0	0.003656259039491842	1.2234637472394944e-05	1.0	2.0
1.549997919591394	1.0	1.0	0.0	0.0031289418505590152	1.1494802169421729e-05	1.0	2.0
1.595000468613119	1.0	1.0	0.0	0.0026700535136000387	1.0769463882796348e-05	1.0	2.0
1.640001376374835	1.0	1.0	0.0	0.0023819900990912236	1.0322003894864901e-05	1.0	2.0
1.685000759522645	1.0	1.0	0.0	0.002177764020249306	1.001006095813876e-05	1.0	2.0
1.729995336368149	1.0	1.0	0.0	0.00204458937818492	9.817621391036661e-06	1.0	2.0
1.775001922903778	1.0	1.0	0.0	0.0017960296132070272	9.323796148534896e-06	1.0	2.0
1.819994189038061	1.0	1.0	0.0	0.0016887858875071805	9.158404467861738e-06	1.0	2.0
1.865000327197798	1.0	1.0	0.0	0.0015462322645970502	8.861688763427667e-06	1.0	2.0
1.910000372811212	1.0	1.0	0.0	0.0014520672186600775	8.70302484051051e-06	1.0	2.0
1.954996485917798	1.0	1.0	0.0	0.0013821175794119325	8.5761277679336e-06	1.0	2.0
2.04499943447756	1.0	1.0	0.0	0.0013808868462497502	8.79171349393757e-06	1.0	2.0
2.089996555573966	1.0	1.0	0.0	0.001263957674554951	8.486276609311324e-06	1.0	2.0
2.135000300064043	1.0	1.0	0.0	0.0012561061399516968	8.552582087904555e-06	1.0	2.0
2.179999801740689	1.0	1.0	0.0	0.0012461053706311425	8.608442504603482e-06	1.0	2.0
2.224999050747173	1.0	1.0	0.0	0.0011856764864521963	8.489717383874804e-06	1.0	2.0
2.269999752030797	1.0	1.0	0.0	0.0012204838422620815	8.705915570391614e-06	1.0	2.0
2.31500154491537	1.0	1.0	0.0	0.0014231938726813108	9.496402152253959e-06	1.0	2.0
2.35999559597282	1.0	1.0	0.0	0.001537788956421285	9.972835886426586e-06	1.0	2.0
2.404997555861487	1.0	1.0	0.0	0.0016184227991596016	1.0325237896589554e-05	1.0	2.0
2.450002334150594	1.0	1.0	0.0	0.0015928348308606813	1.0330129164783237e-05	1.0	2.0
2.495001058510965	1.0	1.0	0.0	0.002231046991394911	1.2354704501195188e-05	1.0	2.0
2.674998493571545	1.0	1.0	0.0	0.0031768115770934445	1.5278062162231348e-05	1.0	2.0
2.719999555101055	1.0	1.0	0.0	0.006136256416520452	2.138479675337322e-05	1.0	2.0
2.764997182901961	1.0	1.0	0.0	0.008583593921934224	2.5516006840591174e-05	1.0	2.0
2.809998306941507	1.0	1.0	0.0	0.012162849250107077	3.058728288621288e-05	1.0	2.0
2.855002421572764	1.0	1.0	0.0	0.020600452094885112	4.0091858813449805e-05	1.0	2.0
2.900000290355571	1.0	1.0	0.0	0.042926154334912	5.816769541721721e-05	1.0	2.0
