# rodscan: ['L', 'H', 'K', 0, 'F', 'Ferr', 'BL', 'dL']
# Escan: ['E', 'H', 'K', 'L', 'F', 'Ferr', 'BL', 'dL']
5.65100000  2.00  0.00  0.00 0.16454926 0.00306202 2.00000000 2.00000000
5.73100000  2.00  0.00  0.00 0.21739998 0.00400312 2.00000000 2.00000000
5.77100000  2.00  0.00  0.00 0.25424948 0.00472608 2.00000000 2.00000000
5.81100000  2.00  0.00  0.00 0.30919999 0.00575377 2.00000000 2.00000000
5.85100000  2.00  0.00  0.00 0.38838045 0.00711537 2.00000000 2.00000000
5.89100000  2.00  0.00  0.00 0.52435682 0.00944955 2.00000000 2.00000000
5.93100000  2.00  0.00  0.00 0.80906381 0.01434144 2.00000000 2.00000000
5.97100000  2.00  0.00  0.00 1.81666038 0.02981031 2.00000000 2.00000000
6.01100000  2.00  0.00  0.00 7.00478489 0.10820109 2.00000000 2.00000000
6.05100000  2.00  0.00  0.00 1.18034066 0.02032674 2.00000000 2.00000000
6.09100000  2.00  0.00  0.00 0.63673222 0.01217970 2.00000000 2.00000000
6.13100000  2.00  0.00  0.00 0.44244407 0.00831084 2.00000000 2.00000000
6.17100000  2.00  0.00  0.00 0.33495836 0.00629440 2.00000000 2.00000000
6.21100000  2.00  0.00  0.00 0.27076825 0.00534762 2.00000000 2.00000000
6.25100000  2.00  0.00  0.00 0.22170593 0.00437758 2.00000000 2.00000000
6.29100000  2.00  0.00  0.00 0.18927856 0.00376178 2.00000000 2.00000000
0.61100000  0.00  2.00  0.00 0.06246460 0.00108240 1.72180000 2.00000000
0.73100000  0.00  2.00  0.00 0.06688887 0.00115943 1.72180000 2.00000000
0.85100000  0.00  2.00  0.00 0.07438969 0.00133672 1.72180000 2.00000000
0.97100000  0.00  2.00  0.00 0.08358222 0.00152421 1.72180000 2.00000000
1.09100000  0.00  2.00  0.00 0.09503136 0.00177657 1.72180000 2.00000000
1.21100000  0.00  2.00  0.00 0.10741984 0.00207094 1.72180000 2.00000000
1.33100000  0.00  2.00  0.00 0.12376741 0.00245649 1.72180000 2.00000000
1.45100000  0.00  2.00  0.00 0.15277559 0.00306450 1.72180000 2.00000000
1.49100000  0.00  2.00  0.00 0.17115840 0.00333697 1.72180000 2.00000000
1.53100000  0.00  2.00  0.00 0.19595768 0.00373616 1.72180000 2.00000000
1.57100000  0.00  2.00  0.00 0.23707574 0.00436018 1.72180000 2.00000000
1.61100000  0.00  2.00  0.00 0.30941971 0.00544646 1.72180000 2.00000000
1.65100000  0.00  2.00  0.00 0.47050757 0.00787803 1.72180000 2.00000000
1.69100000  0.00  2.00  0.00 1.09630241 0.01874668 1.72180000 2.00000000
1.73100000  0.00  2.00  0.00 2.28602698 0.03666320 1.72180000 2.00000000
